architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,fault_activated_count,invalid_proposal_attempt_count
distributed_density_honest,4,1,67,4,0.8,0.5,0.014705882352941176,0.5,0.9852941176470589,0.6153846153846154,0.6007451876190022,9000.0,14019.331842335849,92.31220284959889,14078.979280986488,14107.669295627582,14113.10959412956,14.917994952814695,1689,22.223684210526315,1498144,19712.42105263158,38,4291.422380121796,0.9775014801657785,1.0,0,0,0,5,1,0,0,1.3388180999972974,urban_roundabout,40,1006,,1.34375,2080.642578125,0,0
centralized_remote_0ms_control,4,1,67,4,0.8,0.5,0.014705882352941176,0.5,0.9852941176470589,0.6153846153846154,0.6007451876190022,9000.0,14050.185027668967,0.0,14037.516610986564,14079.573026976705,14089.970414109264,1.0000000000008669,2425,31.907894736842106,1707200,22463.157894736843,42,5255.268334845373,0.982680412371134,,0,0,0,5,1,0,0,0.8859969000041019,urban_roundabout,40,1006,0.0,0.8125,2226.912109375,0,0
centralized_remote_100ms,4,1,67,4,0.8,0.5,0.014705882352941176,0.5,0.9852941176470589,0.6153846153846154,0.6007451876190022,9000.0,14150.185027668967,0.0,14137.516610986559,14179.573026976701,14189.970414109262,1.0000000000008669,2425,31.907894736842106,1707200,22463.157894736843,42,5255.268334845373,0.982680412371134,,0,0,0,5,1,0,0,0.9767740000024787,urban_roundabout,40,1006,100.0,0.96875,2222.669921875,0,0
distributed_density_honest,4,1,66,4,0.8,0.5,0.014925373134328358,0.5,0.9850746268656716,0.6153846153846154,0.6002842255014932,7899.999999999992,14017.29684881764,83.04478930788761,14076.684552312872,14091.209246699387,14093.976401729044,13.064425130349377,1665,22.2,1479040,19720.533333333333,34,4071.7221276518103,0.9795795795795795,1.0,0,0,0,5,1,0,0,1.2924652000001515,urban_roundabout,40,1007,,1.1875,2080.1875,0,0
centralized_remote_0ms_control,4,1,66,4,0.8,0.5,0.014925373134328358,0.5,0.9850746268656716,0.6153846153846154,0.6002842255014932,7899.999999999992,14056.586239162718,0.0,14042.333902690032,14084.324872763293,14102.552606383377,1.0000000000008669,2427,32.36,1708608,22781.44,39,5343.428222496926,0.9839307787391842,,0,0,0,5,1,0,0,1.0459638000029372,urban_roundabout,40,1007,0.0,1.03125,2232.78125,0,0
centralized_remote_100ms,4,1,66,4,0.8,0.5,0.014925373134328358,0.5,0.9850746268656716,0.6153846153846154,0.6002842255014932,7899.999999999992,14156.58623916272,0.0,14142.333902690034,14184.324872763294,14202.552606383377,1.0000000000008669,2427,32.36,1708608,22781.44,39,5343.428222496926,0.9839307787391842,,0,0,0,5,1,0,0,1.024067099999229,urban_roundabout,40,1007,100.0,0.890625,2228.6328125,0,0
distributed_density_honest,4,1,65,4,0.8,0.5,0.015151515151515152,0.5,0.9848484848484849,0.6153846153846154,0.5998096609232355,10349.999999999995,14021.179868316496,80.61957605533365,14079.869487085929,14102.23400643353,14105.928969156927,15.373274597699549,1688,22.81081081081081,1493568,20183.35135135135,34,4055.117286954324,0.9798578199052133,1.0,0,0,0,5,1,0,0,1.1358318999991752,urban_roundabout,40,1008,,1.109375,2029.90625,0,0
centralized_remote_0ms_control,4,1,65,4,0.8,0.5,0.015151515151515152,0.5,0.9848484848484849,0.6153846153846154,0.5998096609232355,10349.999999999995,14047.832672586148,0.0,14038.421477108364,14078.816748302263,14091.323833712097,1.0000000000008669,2349,31.743243243243242,1653696,22347.243243243243,40,5239.143921668804,0.9829714772243507,,0,0,0,5,1,0,0,0.8951868000003742,urban_roundabout,40,1008,0.0,0.875,2160.5712890625,0,0
centralized_remote_100ms,4,1,65,4,0.8,0.5,0.015151515151515152,0.5,0.9848484848484849,0.6153846153846154,0.5998096609232355,10349.999999999995,14147.83267258615,0.0,14138.42147710837,14178.816748302263,14191.323833712097,1.0000000000008669,2349,31.743243243243242,1653696,22347.243243243243,40,5239.143921668804,0.9829714772243507,,0,0,0,5,1,0,0,0.8624440999992657,urban_roundabout,40,1008,100.0,0.859375,2160.4072265625,0,0
distributed_density_honest,4,0,68,4,1.0,0.5,0.0,0.5,1.0,0.6666666666666666,0.6871842709362768,8500.0,13561.256039013571,74.39115438792383,14078.134121032957,14093.689511152661,14095.547134982535,12.909434931188635,1641,21.592105263157894,1402528,18454.315789473683,26,4349.970613646023,0.9841560024375381,1.0,0,0,0,4,1,0,0,1.0634444000024814,urban_roundabout,40,1009,,1.015625,2077.8671875,0,0
