seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1008,det-6c45f1cad0f634146e03aa0c,case-1008-veh_013-w0001,rsu,position_offset,benign,-1,0
1008,det-71e311bce750bb04e91fee64,case-1008-veh_015-w0001,rsu,benign,benign,-1,0
1008,det-799ebd961989281d0e1ecfb3,case-1008-veh_021-w0001,rsu,benign,benign,-1,0
1008,det-7a5c5d3441afb5a8b4b4ffb5,case-1008-veh_023-w0001,rsu,benign,benign,-1,0
1008,det-7ac7de4c26e5578a4ae50c26,case-1008-veh_013-w0001,rsu,position_offset,benign,-1,0
1008,det-7b5fb5f9446d2255b2bb107f,case-1008-veh_011-w0001,rsu,benign,benign,-1,0
1008,det-7d1bb55e708c8703f40397c4,case-1008-veh_008-w0001,rsu,certificate_tamper,benign,1,0
1008,det-80d232fd6b15eddf7edf3bf0,case-1008-veh_001-w0001,rsu,benign,benign,-1,0
1008,det-80f6a794d39c97846d8322b3,case-1008-veh_007-w0001,rsu,benign,benign,-1,0
1008,det-810e70dceade0d4f3d7978c1,case-1008-veh_022-w0001,rsu,benign,benign,-1,0
1008,det-8a63b1563987d3e607474bfc,case-1008-veh_000-w0001,rsu,benign,benign,-1,0
1008,det-8be455560a7f4b62721a5490,case-1008-veh_006-w0001,rsu,replay,replay,1,1
1008,det-8f11d16105a99443de22377a,case-1008-veh_008-w0001,rsu,certificate_tamper,benign,1,0
1008,det-9619186ec220b781034e66ba,case-1008-veh_017-w0001,rsu,benign,benign,-1,0
1008,det-9c5ccf5bd45ea292e788a285,case-1008-veh_019-w0001,rsu,benign,benign,-1,0
1008,det-a04bf614f4e4173d1ee6b779,case-1008-veh_012-w0001,rsu,false_denm,benign,0,0
1008,det-a52cf8721006351e894ca880,case-1008-veh_023-w0001,rsu,benign,benign,-1,0
1008,det-a8a78dc5758ebf11c923f239,case-1008-veh_016-w0001,rsu,benign,benign,-1,0
1008,det-a9a53d90a3327a30736953f0,case-1008-veh_004-w0001,rsu,speed_offset,speed_offset,1,1
1008,det-aa9150c8b446361cdea71137,case-1008-veh_009-w0001,rsu,benign,benign,-1,0
1008,det-b28e05bf5be45d165050178a,case-1008-veh_003-w0001,rsu,benign,benign,-1,0
1008,det-c3f2b1d6bd5ee2cf749b12b4,case-1008-veh_005-w0001,rsu,benign,benign,-1,0
1008,det-ca6fd5f1a2326706ce15f2f1,case-1008-veh_002-w0001,rsu,position_offset,position_offset,1,1
1008,det-cd58db91e414f8985fbf21e0,case-1008-veh_021-w0001,rsu,benign,benign,-1,0
1008,det-d048fbab176985c9c536e8ee,case-1008-veh_011-w0001,rsu,benign,benign,-1,0
1008,det-d23ceea35be6978aa1f08a61,case-1008-veh_009-w0001,rsu,benign,benign,-1,0
1008,det-d3aa85da8a86822fbe2a7a2f,case-1008-veh_005-w0001,rsu,benign,benign,-1,0
1008,det-d5c9d6fac468a73f5e2cb977,case-1008-veh_006-w0001,rsu,replay,replay,1,1
1008,det-d6562af96f748f95aa78d843,case-1008-veh_003-w0001,rsu,benign,benign,-1,0
1008,det-db3a9bc33ee47c7193c8929d,case-1008-veh_020-w0001,rsu,benign,benign,-1,0
1008,det-e63af5a67ded3218f07eb440,case-1008-veh_005-w0001,rsu,benign,benign,-1,0
1008,det-ed15f8f151ac3a9e9bf02508,case-1008-veh_007-w0001,rsu,benign,benign,-1,0
1008,det-f23cc84a4570a576eb948c74,case-1008-veh_018-w0001,rsu,benign,benign,-1,0
1008,det-f64d2bebc97db3947c0bffd4,case-1008-veh_002-w0001,rsu,position_offset,position_offset,1,1
1008,det-fa2178868927865b3cbcb2bc,case-1008-veh_003-w0001,rsu,benign,benign,-1,0
1008,wdet-0023974d86b6f4e1b5dfbaf7,case-1008-veh_019-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-01d40409d1d9549deaf6fc7c,case-1008-veh_018-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-02bc07244232465ca1e38296,case-1008-veh_003-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-03128a3ec523ab5e9b9cd8a6,case-1008-veh_017-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-0a4bbe8ff336f75ab8c94484,case-1008-veh_001-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-0a4ea846058f8e41aac7bf1d,case-1008-veh_001-w0001,vehicle_witness,benign,benign,-1,0
